,date,equity,position
180,2024-11-13,102653.95090506527,1
181,2024-11-19,103346.42871468242,0
182,2024-11-21,103346.42871468242,1
183,2024-11-22,104345.4969094326,0
184,2024-12-03,104345.4969094326,-1
185,2024-12-11,102994.54215932681,0
186,2024-12-19,102994.54215932681,1
187,2024-12-27,102434.24214390264,0
188,2024-12-30,102434.24214390264,1
189,2025-01-02,103266.10075245932,0
190,2025-01-06,103266.10075245932,1
191,2025-01-16,101943.07487635722,0
192,2025-01-17,101943.07487635722,1
193,2025-01-20,103033.9295042432,0
194,2025-02-04,103033.9295042432,-1
195,2025-02-10,103235.3937300771,0
196,2025-02-24,103235.3937300771,1
197,2025-03-05,102849.98654327045,0
198,2025-03-10,102849.98654327045,1
199,2025-03-13,102474.42522072984,0
200,2025-03-18,102474.42522072984,-1
201,2025-04-01,99518.14228660318,0
202,2025-04-15,99518.14228660318,-1
203,2025-04-25,95510.25463430824,0
204,2025-04-28,95510.25463430824,-1
205,2025-04-29,95519.79020291133,0
206,2025-05-30,95519.79020291133,-1
207,2025-06-03,95652.76103675418,0
208,2025-06-06,95652.76103675418,-1
209,2025-06-12,96176.98826899746,0
210,2025-06-25,96176.98826899746,-1
211,2025-07-02,95516.16244615622,0
212,2025-07-18,95516.16244615622,1
213,2025-07-21,96233.89867350135,0
214,2025-07-25,96233.89867350135,1
215,2025-08-11,94532.42961199227,0
216,2025-08-12,94532.42961199227,1
217,2025-08-13,94652.03208617803,0
218,2025-08-26,94652.03208617803,1
219,2025-09-03,93965.76223903288,0
220,2025-09-17,93965.76223903288,-1
221,2025-09-22,94163.99061905971,0
222,2025-09-23,94163.99061905971,-1
223,2025-09-24,94567.4784399611,0
224,2025-10-03,94567.4784399611,-1
225,2025-10-24,91227.7274244259,0
226,2025-10-27,91227.7274244259,-1
227,2025-10-30,91278.25197677918,0
